date,HICP_PT
1996-01-01,65.76
1996-02-01,66.09
1996-03-01,66.23
1996-04-01,66.76
1996-05-01,67.03
1996-06-01,67.03
1996-07-01,67.17
1996-08-01,67.37
1996-09-01,67.37
1996-10-01,67.23
1996-11-01,67.37
1996-12-01,67.37
1997-01-01,67.63
1997-02-01,67.7
1997-03-01,67.77
1997-04-01,67.83
1997-05-01,68.3
1997-06-01,68.1
1997-07-01,68.1
1997-08-01,68.44
1997-09-01,68.37
1997-10-01,68.3
1997-11-01,68.64
1997-12-01,68.77
1998-01-01,68.7
1998-02-01,68.57
1998-03-01,68.77
1998-04-01,69.31
1998-05-01,69.77
1998-06-01,69.91
1998-07-01,70.04
1998-08-01,69.97
1998-09-01,69.84
1998-10-01,70.04
1998-11-01,70.44
1998-12-01,70.71
1999-01-01,70.44
1999-02-01,70.44
1999-03-01,70.71
1999-04-01,71.18
1999-05-01,71.25
1999-06-01,71.38
1999-07-01,71.38
1999-08-01,71.25
1999-09-01,71.18
1999-10-01,71.31
1999-11-01,71.78
1999-12-01,71.91
2000-01-01,71.78
2000-02-01,71.58
2000-03-01,71.71
2000-04-01,72.52
2000-05-01,72.99
2000-06-01,73.39
2000-07-01,73.72
2000-08-01,73.79
2000-09-01,73.72
2000-10-01,73.92
2000-11-01,74.39
2000-12-01,74.66
2001-01-01,74.93
2001-02-01,75.05
2001-03-01,75.37
2001-04-01,75.84
2001-05-01,76.54
2001-06-01,76.74
2001-07-01,76.9
2001-08-01,76.75
2001-09-01,76.74
2001-10-01,77.01
2001-11-01,77.45
2001-12-01,77.58
2002-01-01,77.67
2002-02-01,77.56
2002-03-01,77.9
2002-04-01,78.56
2002-05-01,79.17
2002-06-01,79.43
2002-07-01,79.62
2002-08-01,79.73
2002-09-01,79.7
2002-10-01,80.17
2002-11-01,80.62
2002-12-01,80.7
2003-01-01,80.75
2003-02-01,80.75
2003-03-01,80.8
2003-04-01,81.48
2003-05-01,82.05
2003-06-01,82.08
2003-07-01,81.96
2003-08-01,82.05
2003-09-01,82.21
2003-10-01,82.43
2003-11-01,82.51
2003-12-01,82.54
2004-01-01,82.54
2004-02-01,82.45
2004-03-01,82.64
2004-04-01,83.42
2004-05-01,84.11
2004-06-01,85.06
2004-07-01,84.38
2004-08-01,84.04
2004-09-01,83.97
2004-10-01,84.35
2004-11-01,84.63
2004-12-01,84.66
2005-01-01,84.23
2005-02-01,84.19
2005-03-01,84.47
2005-04-01,85.1
2005-05-01,85.58
2005-06-01,85.63
2005-07-01,85.99
2005-08-01,86.13
2005-09-01,86.26
2005-10-01,86.55
2005-11-01,86.74
2005-12-01,86.81
2006-01-01,86.51
2006-02-01,86.68
2006-03-01,87.72
2006-04-01,88.22
2006-05-01,88.7
2006-06-01,88.66
2006-07-01,88.53
2006-08-01,88.46
2006-09-01,88.82
2006-10-01,88.84
2006-11-01,88.84
2006-12-01,89.0
2007-01-01,88.74
2007-02-01,88.71
2007-03-01,89.82
2007-04-01,90.65
2007-05-01,90.81
2007-06-01,90.78
2007-07-01,90.56
2007-08-01,90.18
2007-09-01,90.57
2007-10-01,91.04
2007-11-01,91.33
2007-12-01,91.44
2008-01-01,91.31
2008-02-01,91.32
2008-03-01,92.65
2008-04-01,92.94
2008-05-01,93.39
2008-06-01,93.86
2008-07-01,93.39
2008-08-01,92.97
2008-09-01,93.44
2008-10-01,93.28
2008-11-01,92.63
2008-12-01,92.21
2009-01-01,91.41
2009-02-01,91.38
2009-03-01,92.1
2009-04-01,92.43
2009-05-01,92.22
2009-06-01,92.38
2009-07-01,92.03
2009-08-01,91.84
2009-09-01,91.77
2009-10-01,91.78
2009-11-01,91.92
2009-12-01,92.08
2010-01-01,91.5
2010-02-01,91.55
2010-03-01,92.67
2010-04-01,93.06
2010-05-01,93.23
2010-06-01,93.43
2010-07-01,93.79
2010-08-01,93.66
2010-09-01,93.58
2010-10-01,93.91
2010-11-01,93.98
2010-12-01,94.33
2011-01-01,94.79
2011-02-01,94.74
2011-03-01,96.27
2011-04-01,96.8
2011-05-01,96.7
2011-06-01,96.52
2011-07-01,96.64
2011-08-01,96.25
2011-09-01,96.83
2011-10-01,97.71
2011-11-01,97.57
2011-12-01,97.63
2012-01-01,97.96
2012-02-01,98.1
2012-03-01,99.29
2012-04-01,99.63
2012-05-01,99.32
2012-06-01,99.14
2012-07-01,99.33
2012-08-01,99.27
2012-09-01,99.66
2012-10-01,99.8
2012-11-01,99.44
2012-12-01,99.67
2013-01-01,98.4
2013-02-01,98.29
2013-03-01,99.96
2013-04-01,100.02
2013-05-01,100.26
2013-06-01,100.31
2013-07-01,100.12
2013-08-01,99.43
2013-09-01,99.93
2013-10-01,99.8
2013-11-01,99.49
2013-12-01,99.84
2014-01-01,98.45
2014-02-01,98.2
2014-03-01,99.57
2014-04-01,99.91
2014-05-01,99.98
2014-06-01,100.06
2014-07-01,99.44
2014-08-01,99.37
2014-09-01,99.89
2014-10-01,99.93
2014-11-01,99.57
2014-12-01,99.57
2015-01-01,98.09
2015-02-01,98.11
2015-03-01,100.01
2015-04-01,100.4
2015-05-01,100.93
2015-06-01,100.82
2015-07-01,100.15
2015-08-01,100.03
2015-09-01,100.78
2015-10-01,100.63
2015-11-01,100.19
2015-12-01,99.86
2016-01-01,98.78
2016-02-01,98.28
2016-03-01,100.48
2016-04-01,100.93
2016-05-01,101.33
2016-06-01,101.5
2016-07-01,100.87
2016-08-01,100.83
2016-09-01,101.49
2016-10-01,101.69
2016-11-01,100.71
2016-12-01,100.74
2017-01-01,100.05
2017-02-01,99.85
2017-03-01,101.86
2017-04-01,103.35
2017-05-01,103.08
2017-06-01,102.53
2017-07-01,101.89
2017-08-01,102.12
2017-09-01,103.15
2017-10-01,103.64
2017-11-01,102.53
2017-12-01,102.37
2018-01-01,101.15
2018-02-01,100.51
2018-03-01,102.69
2018-04-01,103.68
2018-05-01,104.55
2018-06-01,104.57
2018-07-01,104.16
2018-08-01,103.46
2018-09-01,105.03
2018-10-01,104.49
2018-11-01,103.43
2018-12-01,103.02
2019-01-01,101.73
2019-02-01,101.45
2019-03-01,103.53
2019-04-01,104.6
2019-05-01,104.87
2019-06-01,105.27
2019-07-01,103.46
2019-08-01,103.34
2019-09-01,104.76
2019-10-01,104.39
2019-11-01,103.66
2019-12-01,103.4
2020-01-01,102.57
2020-02-01,101.99
2020-03-01,103.67
2020-04-01,104.46
2020-05-01,104.2
2020-06-01,105.5
2020-07-01,103.38
2020-08-01,103.12
2020-09-01,103.92
2020-10-01,103.8
2020-11-01,103.24
2020-12-01,103.1
2021-01-01,102.76
2021-02-01,102.27
2021-03-01,103.8
2021-04-01,104.36
2021-05-01,104.7
2021-06-01,104.91
2021-07-01,104.53
2021-08-01,104.41
2021-09-01,105.29
2021-10-01,105.69
2021-11-01,105.96
2021-12-01,105.97
2022-01-01,106.25
2022-02-01,106.74
2022-03-01,109.49
2022-04-01,112.07
2022-05-01,113.17
2022-06-01,114.37
2022-07-01,114.39
2022-08-01,114.17
2022-09-01,115.62
2022-10-01,116.86
2022-11-01,116.82
2022-12-01,116.36
2023-01-01,115.44
2023-02-01,115.89
2023-03-01,118.22
2023-04-01,119.75
2023-05-01,119.27
2023-06-01,119.79
2023-07-01,119.33
2023-08-01,120.24
2023-09-01,121.18
2023-10-01,120.65
2023-11-01,119.39
2023-12-01,118.56
2024-01-01,118.36
2024-02-01,118.54
2024-03-01,121.26
2024-04-01,122.55
2024-05-01,123.83
2024-06-01,123.46
2024-07-01,122.52
2024-08-01,122.37
2024-09-01,124.28
2024-10-01,123.84
2024-11-01,122.58
2024-12-01,122.24
2025-01-01,121.55
2025-02-01,121.46
2025-03-01,123.54
2025-04-01,125.14
2025-05-01,125.94
2025-06-01,126.02
2025-07-01,125.58
2025-08-01,125.45
2025-09-01,126.67
2025-10-01,126.28
2025-11-01,125.21
2025-12-01,125.16
